CC, methode_BC	
3, 0.121212125	
7, 0.033126295	
1, 0.3	
6, 0.026666665	
1, 0.22222222	
1, 0.5	
1, 0.6666667	
1, 0.5263158	
1, 0.5	
1, 0.3	
7, 0.020408165	
1, 0.22222222	
1, 0.5	
chemin, class, methode, methode_LOC, methode_CLOC, methode_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getTickLabelFormat, 20.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, next, 18.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, previous, 18.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getMinorTickCount, 9.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getCeilingTickUnit_double, 6.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/AbstractBlock.java, AbstractBlock, trimToContentWidth_Range, 5.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/AbstractBlock.java, AbstractBlock, trimToContentHeight_Range, 5.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogAxis.java, LogAxis, resizeRange_double_double, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getLargerTickUnit_TickUnit, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getCeilingTickUnit_TickUnit, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultLogAxisEditor.java, DefaultLogAxisEditor, focusLost_FocusEvent, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultNumberAxisEditor.java, DefaultNumberAxisEditor, focusLost_FocusEvent, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultNumberAxisEditor.java, DefaultNumberAxisEditor, toggleAutoTick, 3.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogAxis.java, LogAxis, calculateValueNoINF_double, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, getTickSize, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultNumberAxisEditor.java, DefaultNumberAxisEditor, validateTickUnit, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultPlotEditor.java, DefaultPlotEditor, createPlotPanel_Plot, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultPolarPlotEditor.java, DefaultPolarPlotEditor, createPlotPanel, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultValueAxisEditor.java, DefaultValueAxisEditor, createTickUnitPanel, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultValueAxisEditor.java, DefaultValueAxisEditor, toggleAutoTick, 2.0, 0.0, 0.0	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateAxis.java, DateAxis, autoAdjustRange, 39.0, 2.0, 0.051282052	
